name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,353,"1983, June",1983,DC
Perry White (New Earth),Public Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,350,"1986, October",1986,DC
John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,345,"1993, June",1993,DC
Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,344,"1977, April",1977,DC
Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,336,"1980, December",1980,DC
Phantom Stranger (New Earth),Secret Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,335,"1952, September",1952,DC
Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,325,"1982, June",1982,DC
William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,321,"1940, February",1940,DC
Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,319,"1959, October",1959,DC
Clifford Steele (New Earth),Public Identity,,Photocellular Eyes,,Male Characters,,Living Characters,314,"1963, June",1963,DC
Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,,Male Characters,,Living Characters,311,"1972, September",1972,DC
Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,309,"1983, September",1983,DC
Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,309,"1972, November",1972,DC
Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,308,"1992, March",1992,DC
Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,306,"1942, August",1942,DC
Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,305,"1999, July",1999,DC
Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Deceased Characters,301,"1999, August",1999,DC
Michael Holt (New Earth),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,300,"1997, June",1997,DC
Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,299,"1986, June",1986,DC
Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,297,"2004, May",2004,DC
Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,291,"1972, March",1972,DC
Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,288,"1940, March",1940,DC
Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,286,"1966, June",1966,DC
Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,284,"1999, February",1999,DC
Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,282,"1940, January",1940,DC
Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Female Characters,,Living Characters,268,"1981, July",1981,DC
Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,268,"1971, April",1971,DC
Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,266,"1986, October",1986,DC
Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Deceased Characters,262,"1967, October",1967,DC
Daniel Turpin (New Earth),Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,261,"1942, June",1942,DC
John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,256,"1938, June",1938,DC
Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,254,"1986, October",1986,DC
Oswald Cobblepot (New Earth),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,253,"1941, December",1941,DC
Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,252,"1983, July",1983,DC
Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,250,"1963, June",1963,DC
Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,245,"1983, September",1983,DC
Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,245,"1983, July",1983,DC
Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,241,"1941, December",1941,DC
Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,239,"1941, September",1941,DC
Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Deceased Characters,237,"1971, March",1971,DC
Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Male Characters,,Living Characters,237,"1961, August",1961,DC
Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,235,"1999, July",1999,DC
Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,235,"1987, June",1987,DC
Susan Dearbon (New Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,235,"1961, March",1961,DC
Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,234,"1992, October",1992,DC
Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,231,"1987, February",1987,DC
Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,229,"1984, May",1984,DC
Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,229,"1965, September",1965,DC
Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,229,"1941, October",1941,DC
Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,228,"1992, August",1992,DC
Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,227,"1950, June",1950,DC
Mera (New Earth),Public Identity,,Blue Eyes,Red Hair,Female Characters,,Living Characters,226,"1963, October",1963,DC
Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,225,"1988, April",1988,DC
George Harkness (New Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,224,"1960, December",1960,DC
Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,222,"1986, November",1986,DC
Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,222,"1941, September",1941,DC
Leonard Snart (New Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,219,"1957, June",1957,DC
Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Living Characters,219,"1940, January",1940,DC
Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,218,"1987, May",1987,DC
Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,218,"1961, May",1961,DC
Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,216,"1987, September",1987,DC
Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,216,"1971, October",1971,DC
Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,214,"1963, June",1963,DC
James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,214,"1940, February",1940,DC
Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Male Characters,,Living Characters,213,"1937, March",1937,DC
Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,212,"1985, November",1985,DC
James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,212,"1961, May",1961,DC
Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,208,"1983, September",1983,DC
Yz (New Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,207,"1940, January",1940,DC
Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,206,"1988, April",1988,DC
Wolfgang Winks (New Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,206,"1942, November",1942,DC
William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,199,"1940, June",1940,DC
Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,198,"1992, August",1992,DC
Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,192,"1992, February",1992,DC
Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,191,"1951, June",1951,DC
Kimiyo Hoshi (New Earth),Secret Identity,,Black Eyes,Black Hair,Female Characters,,Living Characters,189,"1985, July",1985,DC
Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,188,"1968, April",1968,DC
Vandar Adg (New Earth),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,188,"1943, December",1943,DC
Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,184,"1941, September",1941,DC
Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,183,"1940, November",1940,DC
Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,182,"1973, January",1973,DC
Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,181,"1947, June",1947,DC
Margaret Sawyer (New Earth),Public Identity,,Blue Eyes,,Female Characters,Homosexual Characters,Living Characters,180,"1987, April",1987,DC
Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,180,"1983, March",1983,DC
Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,180,"1975, November",1975,DC
Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,179,"1959, May",1959,DC
Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,177,"1971, May",1971,DC
Adam Strange (New Earth),Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,177,"1958, December",1958,DC
Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,177,"1941, October",1941,DC
Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,,Male Characters,,Living Characters,176,"1984, June",1984,DC
James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,176,"1971, January",1971,DC
Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,176,"1960, October",1960,DC
Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,175,"1983, July",1983,DC
Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,175,"1968, June",1968,DC
Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,174,"1994, October",1994,DC
Linda Park (New Earth),Public Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,174,"1989, July",1989,DC
Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Deceased Characters,174,"1944, October",1944,DC
Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,173,"1988, January",1988,DC
Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Female Characters,,Living Characters,173,"1981, May",1981,DC
Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,171,"1942, April",1942,DC
Joan Williams (New Earth),Public Identity,,Blue Eyes,Grey Hair,Female Characters,,Living Characters,171,"1940, January",1940,DC
William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,170,"1962, April",1962,DC
Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,168,"1995, April",1995,DC
Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Deceased Characters,168,"1961, October",1961,DC
Oberon (New Earth),Public Identity,,Blue Eyes,White Hair,Male Characters,,Living Characters,167,"1971, April",1971,DC
Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,166,"1994, April",1994,DC
Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,166,"1963, June",1963,DC
Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,165,"2004, July",2004,DC
Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,165,"1983, September",1983,DC
Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,165,"1962, April",1962,DC
Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,164,"2006, February",2006,DC
Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Female Characters,,Living Characters,164,"1962, April",1962,DC
Andre Chavard (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,164,"1942, June",1942,DC
Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,164,"1942, February",1942,DC
Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,163,"1964, February",1964,DC
"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,163,"1949, November",1949,DC
Uncle Sam (New Earth),Secret Identity,,Blue Eyes,White Hair,Male Characters,,Living Characters,162,"1940, July",1940,DC
Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,161,"1971, March",1971,DC
Iron (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,161,"1962, April",1962,DC
Lead (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,161,"1962, April",1962,DC
Lucas Carr (New Earth),Public Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,161,"1960, March",1960,DC
Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,160,"1959, May",1959,DC
Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,159,"1986, October",1986,DC
Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,158,"1992, October",1992,DC
DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,158,"1971, May",1971,DC
Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,158,"1961, May",1961,DC
Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,157,"1993, January",1993,DC
Salakk (New Earth),Secret Identity,Good Characters,White Eyes,,Male Characters,,Living Characters,155,"1982, February",1982,DC
Tin (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,155,"1962, April",1962,DC
Samuel Morgan (New Earth),,Good Characters,,Red Hair,Male Characters,,Deceased Characters,155,"1937, March",1937,DC
Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,154,"1966, September",1966,DC
Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,153,"1999, October",1999,DC
Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,153,"1975, May",1975,DC
Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,152,"1960, January",1960,DC
Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,152,"1945, December",1945,DC
Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,151,"1987, January",1987,DC
Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,151,"1942, January",1942,DC
Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,148,"1972, September",1972,DC
Gold (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,147,"1962, April",1962,DC
Victor Fries (New Earth),Secret Identity,Bad Characters,Blue Eyes,,Male Characters,,Living Characters,143,"1959, February",1959,DC
Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,142,"1987, February",1987,DC
Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,142,"1962, June",1962,DC
Lester Davis (New Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,142,"1957, February",1957,DC
Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,141,"1994, September",1994,DC
Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,141,"1958, December",1958,DC
Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,140,"1967, September",1967,DC
Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,140,"1964, November",1964,DC
Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,139,"1938, October",1938,DC
Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,138,"1978, March",1978,DC
Solis (New Earth),Secret Identity,,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,138,"1971, March",1971,DC
Alfred Twidgett (New Earth),Public Identity,,,,Male Characters,,Living Characters,137,"1942, June",1942,DC
Tubby Watts (New Earth),,Good Characters,,Red Hair,Male Characters,,Living Characters,137,"1941, September",1941,DC
Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,136,"1970, July",1970,DC
Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,136,"1960, July",1960,DC
Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,134,"1984, October",1984,DC
Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,134,"1948, October",1948,DC
Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,133,"1979, January",1979,DC
Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Male Characters,,Living Characters,132,1992,1992,DC
